Тип вакансии;Название вакансии;Мин. зарплата (рублей);Макс. зарплата (рублей);Тип зарплаты;Требуемый опыт (лет);Город;Компания;Требуемые навыки;Дата публикации
Backend разработчик;Backend-разработчик (middle);90000;160000.0;gross;;Новосибирск;Агентство Недвижимости Жилфонд;PHP, Laravel, PostgreSQL, MySQL, ООП, VueJS, MVC, XML, Веб-программирование, Avid Media Composer;09.06.2026
Backend разработчик;Backend-разработчик (стажёр);80000;;net;;Красноярск;Компания Апогей;;09.06.2026
Backend разработчик;Backend-разработчик (Node.js / NestJS);;230000.0;net;3.0;Санкт-Петербург;Digital Chief;;09.06.2026
Backend разработчик;Backend-разработчик (PHP / Laravel);70000;90000.0;net;3.0;Москва;ООО Медориа40;PHP, Laravel, Dart, REST API, Docker;09.06.2026
Backend разработчик;Senior Backend Developer (GameDev);;;;;Москва;ТОО MadOut Games;TypeScript, Node.js;09.06.2026
Backend разработчик;Backend-разработчик;150000;;net;3.0;Москва;ООО СМТТех;Автоматизация бизнес-процессов, ERP-системы, MES-системы, Linux, REST API;08.06.2026
Backend разработчик;Senior Backend разработчик (Rust);300000;;net;;Москва;ООО Стрит Фалькон;Docker, Kubernetes, RabbitMQ, Computer Vision, Clickhouse;07.06.2026
Backend разработчик;Разработчик backend BI Visiology;;;;;Москва;АО Промышленные инновации;SQL, Python, NoSQL, Big Data;07.06.2026
Backend разработчик;Backend Engineer (Node.js / TypeScript + Go);200000;;net;3.0;Екатеринбург;ООО Винные аналитические системы;Node.js, JavaScript, Go, Backend, TypeScript, PostgreSQL, GraphQL, REST API, gRPC, Redis, Elasticsearch, Docker, Golang;09.06.2026
Backend разработчик;Backend-разработчик Python / FastAPI для desktop-приложения;;140000.0;net;;Санкт-Петербург;ООО Визионеро;Python, PostgreSQL;08.06.2026
Backend разработчик;Middle + Backend-разработчик (Python + Go);;;;3.0;Москва;ИП Мамаева Ирина Анатольевна;Django Rest Framework, SQLAlchemy, Docker, Gitlab, Python, RabbitMQ, SQL, Linux, PostgreSQL, Git, Golang, go, Разработка ПО, Обучение и развитие, Backend, React, Django Framework, Redux, Nginx, CI/CD;08.06.2026
Backend разработчик;Middle backend разработчик С#;;;;3.0;Челябинск;ООО Техноком;C#, .NET Framework, Entity Framework, REST, PostgreSQL, Git;07.06.2026
Backend разработчик;Backend-разработчик (Middle+/Senior);200000;250000.0;net;3.0;Москва;ДЖЕЙКЕТ;Знание алгоритмов, Использование фреймворков, Написание кода, Оптимизация производительности, Проведение тестирования, Работа с базами данных, Разработка архитектуры приложений, Python;07.06.2026
Backend разработчик;PHP-разработчик / Backend-разработчик / Back-end;120000;;net;3.0;Ростов-на-Дону;SEOCare;PHP, HTTP, REST API, Базы данных, Docker, HTML, CSS, Java, Linux, Git;07.06.2026
Backend разработчик;Senior Backend-разработчик / Senior Backend-developer;400000;;net;3.0;Москва;Playerok;Node.js, nest.js;07.06.2026
Backend разработчик;Middle Backend разработчик (Rust);200000;;net;3.0;Москва;ООО Стрит Фалькон;Python, RabbitMQ, FastAPI, SQLAlchemy, Clickhouse, Computer Vision, Linux, PostgreSQL, Gitlab, CI/CD, NoSQL, SQL, Docker, Kubernetes, MongoDB, SOLID;07.06.2026
Backend разработчик;Kotlin Backend Developer;;;;3.0;Санкт-Петербург;Okko;Kotlin, Spring Framework, Kubernetes;05.06.2026
Backend разработчик;Backend Developer (GameDev);;;;3.0;Москва;Meowpunk;PostgreSQL, Python, Базы данных, Kafka, NATS, C#, Kubernetes, Docker;05.06.2026
Backend разработчик;Backend-разработчик;100000;;net;3.0;Калуга;ООО Автоматизированные микропроцессорные системы;PostgreSQL, Git, Разработка ПО, MySQL, C#;02.06.2026
Backend разработчик;Senior C# /.NET Backend / под архитектуру Unity/WebGL;;;;;Москва;NATIVE TRENDS;;08.06.2026
Backend разработчик;Backend-разработчик (.NET Core /C#);250000;;net;3.0;Ижевск;Ёбидоёби, сеть доставки суши и роллов;.NET Core, SOLID, REST API, PostgreSQL, RabbitMQ, Docker, Linux;05.06.2026
Backend разработчик;Middle+/Senior Backend-разработчик;;;;3.0;Москва;Сбер. IT;;04.06.2026
Backend разработчик;Ведущий инженер - программист С# , техлид/тимлид команды (Senior C# разработчик/Backend Tech Lead);;;;;Москва;Мегаполис ИТ;C#, PostgreSQL, .NET Core, Микросервисная архитектура, net 9;07.06.2026
Backend разработчик;Middle Backend-разработчик;200000;;net;3.0;Самара;ООО Юридический Сервис ЮрКлик;Java, Python;03.06.2026
Backend разработчик;Backend-разработчик (PHP / Laravel);150000;;net;;Москва;ООО Ри-Адванс;Laravel, PHP;04.06.2026
Backend разработчик;Middle Python Backend Developer;;;;3.0;Санкт-Петербург;ООО Норд Клан;Python, PostgreSQL, Django Framework, REST API, GitHub, Django Rest Framework;02.06.2026
Backend разработчик;Senior backend-разработчик (.Net/C#);;;;;Санкт-Петербург;Первый Бит;.NET Core, C#, MySQL, RabbitMQ, Apache Kafka, Redis;01.06.2026
Backend разработчик;Senior .NET Backend Developer;;;;;Москва;АО Топ Системы;ASP.NET, С#, REST API, RabbitMQ, NET10., ASP.NET Core, Swagger;02.06.2026
Backend разработчик;С# Senior Backend Developer (Blockchain + FinTech);250000;500000.0;net;3.0;Москва;ООО Брисмани;C#, .NET Core, PostgreSQL, Entity Framework, Redis, Atlassian Jira, RabbitMQ;04.06.2026
Backend разработчик;Senior Backend Developer (Golang)/Инженер-разработчик;;;;3.0;Москва;АО Специализированный депозитарий ИНФИНИТУМ;Golang;01.06.2026
Backend разработчик;Backend Node.js разработчик;;;;3.0;Москва;X5 Digital;Node.js, MongoDB, Kunernetes, RabbitMQ;28.05.2026
Backend разработчик;Backend PHP-программист;;;;;Москва;АО ТАНАИС;PHP, Laravel, Bitrix, Git, HTML, CSS, JavaScript, API, REST API, CI/CD, jQuery, Английский — B2 — Средне-продвинутый;03.06.2026
Backend разработчик;Backend-разработчик (Kotlin / Java);300000;;gross;3.0;Санкт-Петербург;AVRIO Group Consulting;Java, Kotlin, Spring Boot, PostgreSQL, MongoDB, Redis, Apache Kafka;30.05.2026
Backend разработчик;Backend-разработчик;;;;;Москва;ООО АТМ;;25.05.2026
Backend разработчик;Backend .NET разработчик;;;;3.0;Москва;Finstar Financial Group;;28.05.2026
Backend разработчик;Node.js Backend Developer (Atomic Mail);;;;3.0;Санкт-Петербург;Бойлер лабс;Node.js, REST API, OWASP, SQL, NoSQL, JavaScript, Git;02.06.2026
Backend разработчик;Junior Backend Developer (PHP, Laravel);60000;;gross;;Москва;ПроКонтекст;PHP, Git, MySQL, ООП, Laravel, Docker;02.06.2026
Backend разработчик;Backend-разработчик;;;;;Москва;Мосгосэкспертиза;Git, PostgreSQL, Spring Framework, SDLC, SOLID, HTTP, HTTPS, Английский — B1 — Средний;18.05.2026
Backend разработчик;Backend-разработчик, Senior;;;;;Уфа;ООО ИК СИБИНТЕК;;22.05.2026
Backend разработчик;Backend-разработчик, junior+;;;;;Уфа;ООО ИК СИБИНТЕК;;22.05.2026
Backend разработчик;Разработчик Бэкенд (РНР);;;;3.0;Москва;Ригла;MS SQL Server, MS SQL, База данных: Olap, PHP, HTML/CSS, CSS, MySQL, Git, ООП, PostgreSQL, Laravel, Symfony, Kafka, Docker, SOLID;02.06.2026
Backend разработчик;Python backend developer;;;;3.0;Москва;Сбер. IT;;26.05.2026
Backend разработчик;Backend-разработчик;150000;220000.0;gross;3.0;Москва;Cookies.Games;Node.js, TypeScript, NestJS, TypeORM, PostgreSQL, Crypto, Английский — B1 — Средний;17.05.2026
Backend разработчик;Backend n8n разработчик;50000;150000.0;net;;Иннополис;Тулбокс;PostgreSQL, REST, Git, Базы данных, Аналитическое мышление, Docker, Системный анализ;26.05.2026
Backend разработчик;Программист (Backend-разработчик);;220000.0;gross;3.0;Москва;АО Концерн Созвездие;SQL, Python, API, PostgreSQL, Работа с базами данных, Docker;21.05.2026
Backend разработчик;Backend-разработчик (python);;90000.0;net;;Ростов-на-Дону;ФГАНУ НИИ Спецвузавтоматика;Python, FastAPI, Django Framework, REST API;21.05.2026
Backend разработчик;Ведущий разработчик (backend developer Java/Kotlin);;;;;Москва;T2. IT и Digital;Java, Kotlin, PostgreSQL, Apache Kafka, Hibernate, Docker, Kubernetes;02.06.2026
Backend разработчик;Руководитель группы бэкенд-разработчиков ( PHP);;;;;Москва;НМГТЕХ;PHP, MySQL, Symfony, API, Git, Docker, SOLID, Микросервисная архитектура, Управление командой;28.05.2026
Backend разработчик;Senior/Middle+ Backend-разработчик (Python / AI / LLM);;;;;Москва;Сбер. IT;Python, PostgreSQL;27.05.2026
Backend разработчик;PHP (+Go) Backend-разработчик в офис;200000;;gross;;Ростов-на-Дону;Posiflora;MySQL, PHP, PostgreSQL, Golang, Git, Linux, Docker, Go, Symfony;13.05.2026
Backend разработчик;Системный аналитик (backend-to-backend интеграции / mobile);;;;3.0;Москва;Ventra;;20.05.2026
Backend разработчик;Backend разработчик / PHP-программист в офис;;;;;Вологда;Baza.net;MySQL, PHP, Git, Linux, SQL, ООП;13.05.2026
Backend разработчик;Backend-разработчик с уклоном в AI;152000;182000.0;gross;;Красноярск;ООО РН-Учет;;13.05.2026
Backend разработчик;Ведущий инженер/главный инженер (Middle/Senior Backend);100000;;net;3.0;Челябинск;ПАО ЧЕЛИНДБАНК;SQL, XML, СУБД, Git, Python, PostgreSQL, ORACLE, Atlassian Jira, Unix, Bash, Perl;26.05.2026
Backend разработчик;Python Backend Developer (AI Platform, LLM Systems) / Python?бэкенд?разработчик;;;;3.0;Москва;ФГАОУ ВО РОССИЙСКИЙ НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ МЕДИЦИНСКИЙ УНИВЕРСИТЕТ им.Н.И. ПИРОГОВА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ;Ориентация на результат, Мотивация сотрудников, Стрессоустойчивость;19.05.2026
Backend разработчик;Backend Developer Go Middle;150000;;gross;;Москва;TrueConf;Go, REST, WebSocket, gRPC, PostgreSQL, SQL, Git;13.05.2026
Backend разработчик;Бэкенд-разработчик nestjs / backend developer nestjs;;;;;Москва;Банк Русский Стандарт;;12.05.2026
Backend разработчик;Backend Tech Lead;;;;;Москва;Overgear;;17.05.2026
Backend разработчик;Backend Architect / Tech Lead;;;;3.0;Москва;ООО Виви Мед;Python, Docker, PostgreSQL, Git, Linux, SQL, REST, Redis, API, Teamleading, Управление командой, Английский язык, Node.js, TypeScript, RBAC, AWS, solution architecture;11.05.2026
Backend разработчик;Senior Backend (Python + JS) Developer;500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000500050005000;750000.0;gross;;Москва;Simplenight;FastAPI, Kubernetes, Next.js, PostgreSQL, Redis, Elasticsearch, Python, TypeScript, Английский — C1 — Продвинутый, Русский — C2 — В совершенстве;07.06.2026
Backend разработчик;Senior Backend разработчик Java/Kotlin;;;;;Санкт-Петербург;Okko;;29.05.2026
Backend разработчик;Backend-разработчик, Middle;;;;3.0;Уфа;ООО ИК СИБИНТЕК;;22.05.2026
Backend разработчик;Java/Kotlin backend разработчик;;;;;Москва;Яндекс;Java, Kotlin, ООП, C++, SQL, Рефакторинг кода, Spring Boot, Разработка ПО, Spring Framework, PostgreSQL, Разработка продукта;21.05.2026
Backend разработчик;Backend-разработчик (NestJS);;;;;Санкт-Петербург;ЭР-Телеком Холдинг;Node.js, NestJS, TypeScript, MySQL, MongoDB, Clickhouse, Redis, Apache Kafka, Docker, Kubernetes, Jest, Prometheus, Grafana, Sentry, Swagger;15.05.2026
Backend разработчик;Руководитель команды backend разработки;;;;;Санкт-Петербург;Версус Сервис;;28.05.2026
Backend разработчик;Middle Backend Developer (Golang);157500;;gross;3.0;Елабужский район;Алабуга. Управление цифровой трансформации;Golang, PostgreSQL, Git, Backend, Go;22.05.2026
Backend разработчик;Middle Backend Developer (Golang);157500;;gross;3.0;Елабужский район;Алабуга. Управление цифровой трансформации;Golang, PostgreSQL, Git, Backend, Go;22.05.2026
Backend разработчик;Разработчик бэкенда в Яндекс Образование;;;;3.0;Санкт-Петербург;Яндекс;Python, Golang;29.05.2026
Fullstack разработчик;Fullstack разработчик PHP+JS;230000;260000.0;net;;Москва;ООО Джем-Софт;PHP, MongoDB, JavaScript;08.06.2026
Fullstack разработчик;Fullstack-разработчик / Fullstack Developer;150000;250000.0;gross;3.0;село Поляны;ООО Интер Парк;;08.06.2026
Fullstack разработчик;Fullstack-разработчик;200000;;net;;Москва;БИТ;MS SQL, PostgreSQL, JSON API, HTML, JavaScript, Bootstrap;07.06.2026
Fullstack разработчик;Fullstack-разработчик;;;;3.0;Москва;Made of Storm;Node.js, Python, PHP;09.06.2026
Fullstack разработчик;Fullstack-разработчик (Flutter + Laravel);70000;90000.0;net;;Москва;ООО Медориа40;Laravel, Flutter;09.06.2026
Fullstack разработчик;Старший Fullstack-разработчик (Vue.JS+PHP);;350000.0;net;;Москва;ООО МФК Фордевинд;jQuery, Git, Laravel, PHP, VueJS;09.06.2026
Fullstack разработчик;Fullstack-разработчик;100000;180000.0;gross;3.0;Москва;Инрэко ЛАН;MySQL, PostgreSQL, React, VueJS, .NET Framework, С#;04.06.2026
Fullstack разработчик;Fullstack-разработчик (React + Node.js) (отдел поддержки сайтов);;180000.0;gross;;Москва;Пиксель Плюс;Node.js, PHP, Git, API, 1С-Битрикс;08.06.2026
Fullstack разработчик;Fullstack-разработчик PHP;;;;;Москва;ГКУ Инфогород;PHP, VueJS, PostgreSQL, Laravel, Symfony;09.06.2026
Fullstack разработчик;Junior Fullstack-разработчик;60000;90000.0;gross;;Санкт-Петербург;Fora Soft (Фора Софт);JavaScript, Atlassian Jira, Аналитическое мышление, Node.js, Git, SQL, HTTP, ООП, MongoDB, React, React Native, Веб-программирование, Linux, Английский — B1 — Средний;04.06.2026
Fullstack разработчик;Fullstack разработчик / Fullstack Developer;70000;;net;;Пермь;ООО Вайт Рэбит;1С-Битрикс, PHP, jQuery, Git, ООП, CSS, HTML, JavaScript, MySQL, SQL, Bitrix Framework, Scrum, Agile, Битрикс24, REST, API, XML;09.06.2026
Fullstack разработчик;Fullstack разработчик (PHP);;;net;3.0;Санкт-Петербург;Аргус-Спектр;PHP, MySQL, CSS, MVC, Laravel, JavaScript, PostgreSQL, Windows Server, Shell;08.06.2026
Fullstack разработчик;Fullstack программист-разработчик (JavaScript, NodeJS, React);;;;;Москва;ЗАО НПЦ ИРС;Node.js, React, PostgreSQL, Блочная верстка, Разработка ПО, Веб-программирование, SQL, Базы данных, СУБД, REST, Redis, Docker, Инициативность, Ответственность, Деловое общение, JavaScript, TypeScript;09.06.2026
Fullstack разработчик;Fullstack-разработчик C#;;;;;Москва;Фонд развития промышленности;C#, .NET Framework, JavaScript, VueJS, TypeScript, Atlassian Jira, Atlassian Confluence;07.06.2026
Fullstack разработчик;Ведущий fullstack разработчик (senior .NET JavaScript);;;;;Москва;ЗАО КонсультантПлюс;JavaScript, .NET Framework;08.06.2026
Fullstack разработчик;Fullstack Desktop Developer (Cross-platform);220000;250000.0;net;3.0;Москва;Юнитест;;07.06.2026
Fullstack разработчик;PHP Fullstack разработчик;;;;3.0;Тула;ООО Выберу.ру;HTML5, React, VueJS, PHP, Symfony, Laravel, MS SQL, PostgreSQL, Redis, RabbitMQ;02.06.2026
Fullstack разработчик;Fullstack разработчик (.NET C#/Angular);;;;3.0;Москва;ООО Лоция;.NET Core, Angular, TDORP;04.06.2026
Fullstack разработчик;Senior backend (fullstack) разработчик C++;;;;;Москва;ЗАО КонсультантПлюс;;04.06.2026
Fullstack разработчик;Fullstack-разработчик (Астра Облако);;;;;Москва;Группа компаний Астра;C++, Linux, Git, Bash, JavaScript;03.06.2026
Fullstack разработчик;Разработчик Fullstack Python/Django;;;;3.0;Москва;АО Компания ТрансТелеКом;REST API, Python, PostgreSQL, Django Framework, JS, Kubernetes, RabbitMQ;03.06.2026
Fullstack разработчик;FullStack тестировщик (Java) Middle-;;175000.0;gross;;Москва;DCloud;Java, SQL;06.06.2026
Fullstack разработчик;Fullstack-аналитик;;;;3.0;Москва;ООО ИЦ АЙ-ТЕКО;;04.06.2026
Fullstack разработчик;Fullstack-разработчик (Node.js);;;;3.0;Москва;RIS group;Node.js, JavaScript, React, PostgreSQL, MongoDB;01.06.2026
Fullstack разработчик;Senior fullstack-разработчик;;;;;Москва;РБК;PHP, Laravel, VueJS, Gitlab, Kubernetes;01.06.2026
Fullstack разработчик;Senior fullstack-разработчик (Vue.js, Python);;;;3.0;Москва;МАГНИТ, Розничная сеть. IT;Python, VueJS;03.06.2026
Fullstack разработчик;Senior Fullstack-разработчик;;;;3.0;Краснодар;ООО 4 пикселя +;Node.js, Python, PHP, VueJS, React;01.06.2026
Fullstack разработчик;FullStack Разработчик (С++, Qt);;;;3.0;Москва;Star-Staff;C++, Qt, Linux, PostgreSQL;02.06.2026
Fullstack разработчик;Fullstack-Разработчик Typescript (офис);;;;3.0;Казань;АО ИНКОМСИСТЕМ, НИЦ;Node.js, TypeScript, JavaScript, React, Git, Next.js, Electron;02.06.2026
Fullstack разработчик;Javascript fullstack (React. js, Node. js) разработчик;120000;200000.0;net;;Москва;АО Медиа Эффект;JavaScript, Node.js, MySQL, Git, React, PostgreSQL;04.06.2026
Fullstack разработчик;Fullstack-разработчик;;;;3.0;Воронеж;InternetWeb;Node.js, PHP, Golang, Grafana, SWIFT Alliance, Yii, Linux, Puppet, Нейронные сети, Docker-compose, Docker, PHP7;29.05.2026
Fullstack разработчик;Fullstack-разработчик;100000;;net;;Омск;DATAFOOD;PHP, Git, VueJS, Laravel, MySQL, PostgreSQL, TypeScript, Redis, Apache Kafka, RabbitMQ, Docker, Docker-compose;29.05.2026
Fullstack разработчик;Fullstack-разработчик;200000;;net;3.0;Барнаул;ГлавПро Федеральный институт повышения квалификации;PHP, MySQL, HTML, REST API, Laravel, React, SOLID, DDD, PHPUnit, SaaS;17.05.2026
Fullstack разработчик;Senior Fullstack Developer/ Team Lead;;;;;Москва;Clear Mind;;29.05.2026
Fullstack разработчик;Middle fullstack-разработчик (JS/TS и PHP/Python);;;;3.0;Казань;FIX;JavaScript, PHP, MongoDB, PostgreSQL, TypeScript, Docker, Atlassian Jira, Atlassian Confluence, Python;29.05.2026
Fullstack разработчик;Fullstack аналитик ERP (MS Axapta / Navision);;;;3.0;Москва;MERLION TECH;ERP, MS Dynamics NAV, MS Navision, Navision, AXAPTA, MS Axapta, SQL, Постановка задач разработчикам;02.06.2026
Fullstack разработчик;Middle Fullstack Developer;;;;3.0;Москва;ООО Буханка;JavaScript, Node.js, MongoDB, VueJS, Docker, 1С: Управление Торговлей, REST API;25.05.2026
Fullstack разработчик;Fullstack разработчик (WordPress);;;;3.0;Москва;TecHuntr;Wordpress, PHP, JavaScript, HTML, MySQL, CSS;20.05.2026
Fullstack разработчик;Fullstack QA Java специалист (Fintech, уровень Junior/ Middle–);;175000.0;net;;Ростов-на-Дону;DCloud;;03.06.2026
Fullstack разработчик;Fullstack-разработчик лабораторной информационной системы;;;;3.0;Москва;ФГБУ ЦСП ФМБА России;JavaScript, Python;25.05.2026
Fullstack разработчик;Fullstack-разработчик (Techlead);;;;;Ижевск;Directum;C#, SQL, .NET Core, TypeScript;20.05.2026
Fullstack разработчик;Ведущий fullstack-аналитик;350000;400000.0;gross;;Москва;RedLab;Аналитическое мышление, BPMN, UML, Анализ бизнес-процессов, Системный анализ;29.05.2026
Fullstack разработчик;Junior+ Fullstack разработчик в B2B SaaS;;;;;Ульяновск;Flow Medium;TypeScript, React, GitHub, Английский — A2 — Элементарный;28.05.2026
Fullstack разработчик;Fullstack Developer;;;;;Москва;ООО Студия Олега Чулакова;JavaScript, React, Claude, Node.js;20.05.2026
Fullstack разработчик;Senior Fullstack Developer (.NET / React);;;;3.0;Москва;ООО Информационные Системы в Здравоохранении;JavaScript, PostgreSQL, Linux, .NET Framework, .NET Core, React, С#;28.05.2026
Fullstack разработчик;Fullstack-разработчик (.Net/React);;150000.0;gross;;Москва;DDPlanet;;22.05.2026
Fullstack разработчик;Fullstack-разработчик;;;;;Астрахань;ООО «АйСиЭл Сервисез» (Москва);;14.05.2026
Fullstack разработчик;Fullstack-разработчик;;;;3.0;Москва;ООО Ростелеком Информационные Технологии;;14.05.2026
Fullstack разработчик;Fullstack разработчик;100000;;net;;Пермь;Love.ru;Git, PHP, PostgreSQL, JS;14.05.2026
Fullstack разработчик;Fullstack-разработчик;;;;3.0;Москва;iConText Group;;13.05.2026
Fullstack разработчик;FullStack разработчик (Bitrix);200000;210000.0;net;3.0;Санкт-Петербург;FINNTRAIL (ООО Финэкип);PHP, JavaScript, Git, Node.js, HTML, jQuery, Битрикс24, API;18.05.2026
Fullstack разработчик;Fullstack программист-разработчик;250000;;net;3.0;Москва;ООО Хайвэй Медиа;;18.05.2026
Fullstack разработчик;Fullstack Golang Developer (Middle);150000;200000.0;net;3.0;Казань;Пигалев Дмитрий Евгеньвич;Golang, PostgreSQL, Docker, React, TypeScript, JWT, Swagger;19.05.2026
Fullstack разработчик;QA Инженер (Auto\Fullstack);;;;3.0;Москва;Сбер. IT;;19.05.2026
Fullstack разработчик;Fullstack-разработчик (React + Python/FastAPI) — AI Agents Platform;150000;;net;3.0;Санкт-Петербург;ООО Овелфиш;React, TypeScript, Python, FastAPI, PostgreSQL, ORM, REST API, HTML5, CRM, SQLAlchemy;14.05.2026
Fullstack разработчик;PHP Developer / Laravel Developer / Fullstack PHP + Vue.js;150000;250000.0;net;3.0;Москва;ИП Кляшторный Андрей Владиславович;PHP, Laravel, MySQL, VueJS, JavaScript, Git, REST API, ООП, SOLID, MVC, SQL, Redis, Docker, Linux, Nginx, Telegram, API;24.05.2026
Fullstack разработчик;Middle Fullstack Developer (Shopify + WordPress);150000;;gross;;Москва;ООО HAAS PLATFORM;Shopify, Wordpress, CRM, API, HTML, CSS, Liquid, WooCommerce, SCSS, Английский — B1 — Средний;12.05.2026
Fullstack разработчик;Senior QA Engineer (Fullstack);;262500.0;gross;3.0;Москва;Romantic lines LP;Smoke-тестирование, REST API, TestRail, MySQL, Atlassian Jira, Postman, Java, Selenium, Gitlab;15.05.2026
Fullstack разработчик;Системный аналитик (Senior fullstack);;;;3.0;Москва;ООО Раппорто;HTTP, REST API, JSON, SQL, BPMN;15.05.2026
Fullstack разработчик;Middle Fullstack C# Developer;200000;230000.0;net;3.0;Москва;ООО Смарт Мил Сервис;C#, Entity Framework, .NET Core, Git, gRPC, REST API, LINQ, PostgreSQL, SOLID, ООП, WPF;14.05.2026
Fullstack разработчик;Senior Backend / Fullstack Developer (CRM + API + вычислительная логика);;;;;Москва;Моложин Матвей Евгеньевич;PostgreSQL, REST API, Docker, Redis, RabbitMQ, Node.js, SQL, Git, Linux, Работа с базами данных, Базы данных, Аналитическое мышление, Разработка технических заданий;17.05.2026
Системный аналитик;Системный аналитик;230000;250000.0;net;3.0;Москва;ABCstaff;;09.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;Security Vision;UML, BPMN, Системный анализ, Моделирование бизнес процессов, Разработка технических заданий, UC, US, Разработка функциональных моделей, Ревью тест-кейсов, Сбор и формализация, аналитика, ERD, методологии, Разработка ПО, Информационная безопасность;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;ФГБУ ГИВЦ Минкультуры России;SQL, PostgreSQL, IDEF, UML, BPMN, Camunda, MS Excel;09.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ООО МФК ВЭББАНКИР;;09.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;ООО Colvir Software Solutions;Системный анализ, Аналитическое мышление, BPMN, Camunda, ORACLE, PostgreSQL;09.06.2026
Системный аналитик;Системный аналитик;;250000.0;gross;3.0;Москва;ООО Финтехник;Системный анализ;09.06.2026
Системный аналитик;Системный аналитик;180000;300000.0;net;;Москва;Клируэй Текнолоджис;Системный анализ, Agile, Scrum, UML, BPMN, IDEF, REST API, SOAP, SQL, Zabbix, Prometheus, Английский — B2 — Средне-продвинутый;09.06.2026
Системный аналитик;Системный аналитик / Бизнес-аналитик;;200000.0;net;3.0;Москва;ООО Адакта;Системный анализ, Бизнес-анализ, Страхование, Информационные технологии, JavaScript, SQL, Английский язык, Андеррайтинг, Актуарные расчеты, Системная интеграция, Английский — B1 — Средний;09.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Москва;R-Style Softlab (Эр-Стайл Софтлаб);Jira, SQL, Figma, Postman, PlantUML, Camunda, Bizagi, Постановка задач разработчикам;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;МойСклад;REST API, BPMN, UML, JSON API, Системный анализ;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;ООО Сорб групп;SQL, Системный анализ, ГОСТ 34, JSON API, PostgreSQL, Постановка задач разработчикам, Atlassian Jira, Atlassian Confluence;09.06.2026
Системный аналитик;Системный аналитик;260000;;gross;3.0;Санкт-Петербург;АО Аркадия;BPMN, SQL, PostgreSQL, JSON, XML, Atlassian Jira, Postman;09.06.2026
Системный аналитик;Системный / Продуктовый аналитик;;;;;Санкт-Петербург;Altenar;Системный анализ, Анализ требований, Английский язык, Английский — B2 — Средне-продвинутый;09.06.2026
Системный аналитик;Системный аналитик;;;;;Ростов-на-Дону;Т-Банк. ИТ. Аналитика;UML, Системный анализ, BPMN, SQL, REST, REST API;09.06.2026
Системный аналитик;Системный аналитик;;;;;Екатеринбург;ПАО КБ Уральский банк реконструкции и развития (УБРиР);SQL, СУБД, SAP CRM, BPMN/UML, API, Postman;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;ООО СберМедИИ;Системный анализ, Техническая документация, REST API, JSON API, MedTech;09.06.2026
Системный аналитик;Ведущий системный аналитик;;;;;Москва;ПАО Московская Биржа;;09.06.2026
Системный аналитик;Системный аналитик;;;;;Москва;Цифровой аудит;;08.06.2026
Системный аналитик;Системный аналитик;;;;;Нижний Новгород;Лига Цифровой Экономики;;08.06.2026
Системный аналитик;Системный аналитик;;;;;Екатеринбург;ООО 42;Atlassian Jira, Atlassian Confluence, Деловая коммуникация, JSON API, Draw.io, Confluence, Анализ данных, BPMN, UML, Postman, REST, SQL, MS Excel, ГОСТ 34;08.06.2026
Системный аналитик;Системный аналитик (Middle / Middle+ / Senior);;;;3.0;Тюмень;CRT;Системный анализ, Бизнес-анализ, Сбор и формализация требований, SQL, BPMN, UML, REST API, Use case, User Story;09.06.2026
Системный аналитик;Системный аналитик (LLM, NLP, RAG, AI-агенты);;;;3.0;Москва;Diasoft;RAG, MCP, SGLang, Python, Go, Системный анализ, QWEN;09.06.2026
Системный аналитик;Старший системный аналитик ELMA365;;;;3.0;Москва;РТК-ЦОД;;09.06.2026
Системный аналитик;Системный аналитик;;;;;Новосибирск;Ангиофарм;;08.06.2026
Системный аналитик;Ведущий системный аналитик (развитие АБС ЦФТ-Банк, ИБСО);;;;;Новосибирск;АО Азиатско-Тихоокеанский Банк;Разработка бизнес-требований, Анализ АБС, BPMN, JSON API, UML, XML, REST, SOAP, Анализ требований, Разработка функциональных требований, Разработка технических заданий;09.06.2026
Системный аналитик;Системный аналитик;;;;3.0;Санкт-Петербург;ООО МЭДИКС.ТЕХ;Системный анализ, Бизнес-анализ, Сбор требований, Английский — B2 — Средне-продвинутый;08.06.2026
Системный аналитик;Senior System Analyst (Системный Аналитик);;;;;Москва;ИП Казарьянц Артур Эдуардович;BPMN, UML, API, XML, SQL, Postman;08.06.2026
